Timestamp,Winner,Player X Moves,Player O Moves,Player O Type
2023-11-28 22:07:50.023742,X,"[(0, 0), (1, 1), (2, 2)]","[(1, 0), (0, 1)]",Bot
2023-11-28 22:16:21.362460,X,"[(1, 1), (0, 1), (0, 2), (2, 2), (0, 0)]","[(1, 0), (2, 0), (2, 1), (1, 2)]",Bot
2023-11-28 22:19:08.215034,X,"[(1, 1), (0, 0), (2, 2)]","[(2, 0), (0, 1)]",Bot
2023-11-28 22:19:33.101383,X,"[(0, 0), (0, 1), (0, 2)]","[(1, 1), (2, 2)]",Human
2023-11-28 22:19:54.738079,X,"[(1, 1), (0, 0), (2, 2)]","[(0, 1), (2, 0)]",Human
2023-11-28 22:22:36.033231,X,"[(0, 1), (0, 2), (0, 0)]","[(1, 1), (2, 2)]",Human
2023-11-28 22:23:11.751657,O,"[(0, 0), (0, 1), (1, 0)]","[(1, 1), (0, 2), (2, 0)]",Human
2023-11-28 22:23:36.952334,O,"[(0, 0), (2, 2), (1, 0)]","[(1, 1), (0, 2), (2, 0)]",Human
2023-11-28 22:24:09.424838,O,"[(2, 2), (0, 1), (1, 2)]","[(1, 1), (0, 2), (2, 0)]",Human
2023-11-28 22:25:28.585097,O,"[(1, 1), (1, 2), (2, 0)]","[(0, 1), (0, 2), (0, 0)]",Human
2023-11-28 22:25:47.508978,X,"[(1, 1), (0, 2), (2, 0)]","[(0, 0), (1, 0)]",Human
2023-11-28 22:26:43.952217,O,"[(0, 0), (1, 0), (0, 1), (1, 1)]","[(2, 2), (2, 0), (0, 2), (1, 2)]",Human
2023-11-28 22:27:12.501074,X,"[(1, 1), (0, 2), (2, 0)]","[(0, 0), (1, 0)]",Human
2023-11-28 22:27:31.655971,O,"[(1, 0), (2, 0), (1, 1)]","[(0, 1), (0, 0), (0, 2)]",Human
2023-11-28 22:28:03.434208,O,"[(1, 0), (0, 0), (0, 2)]","[(0, 1), (1, 1), (2, 1)]",Human
2023-11-28 22:28:30.293213,X,"[(0, 1), (1, 1), (2, 1)]","[(1, 0), (1, 2)]",Human
2023-11-28 22:29:12.500999,X,"[(2, 2), (0, 0), (2, 0), (1, 0)]","[(1, 1), (0, 2), (0, 1)]",Human
2023-11-28 22:29:39.857129,X,"[(0, 1), (1, 1), (2, 1)]","[(0, 0), (1, 2)]",Human
2023-11-28 22:30:36.412327,,"[(0, 0), (0, 2), (2, 1), (1, 0), (2, 2)]","[(1, 1), (0, 1), (2, 0), (1, 2)]",Human
2023-11-28 22:30:53.855743,X,"[(1, 1), (0, 1), (2, 1)]","[(0, 0), (0, 2)]",Human
2023-11-28 22:31:26.066860,X,"[(1, 1), (0, 0), (2, 0), (0, 2)]","[(0, 1), (2, 2), (1, 2)]",Human
2023-11-28 22:33:17.290477,O,"[(1, 1), (2, 0), (1, 0)]","[(0, 0), (0, 2), (0, 1)]",Human
2023-11-28 22:34:02.582307,O,"[(1, 1), (1, 2), (2, 0), (2, 2)]","[(0, 0), (1, 0), (0, 1), (0, 2)]",Human
2023-11-28 22:34:26.485107,X,"[(1, 1), (0, 2), (2, 0)]","[(0, 0), (1, 0)]",Human
2023-11-28 22:37:01.968272,X,"[(1, 1), (1, 2), (1, 0)]","[(0, 0), (0, 1)]",Human
2023-11-28 22:44:54.667357,X,"[(0, 0), (0, 2), (0, 1)]","[(1, 1), (1, 2)]",Human
2023-12-05 21:48:02.360091,X,"[(0, 0), (0, 1), (0, 2)]","[(1, 1), (2, 0)]",Human,"('X', (0, 0))",Win
2023-12-05 21:51:35.004701,O,"[(1, 1), (1, 2), (0, 2)]","[(1, 0), (0, 0), (2, 0)]",Human,"('X', (1, 1))",Loss
2023-12-05 21:52:56.576837,X,"[(1, 1), (0, 0), (2, 1), (0, 2), (2, 2)]","[(0, 1), (1, 2), (2, 0), (1, 0)]",Human,"('X', (1, 1))",Win
2023-12-05 21:55:28.631008,O,"[(1, 0), (2, 0), (1, 1)]","[(0, 1), (0, 0), (0, 2)]",Human,"('X', (1, 0))",Loss
2023-12-05 21:56:55.229579,X,"[(1, 1), (0, 2), (1, 0), (0, 0), (2, 2)]","[(0, 1), (2, 0), (1, 2), (2, 1)]",Human,"('X', (1, 1))",Win
2023-12-05 21:58:10.821856,O,"[(0, 0), (0, 1), (1, 0)]","[(1, 1), (0, 2), (2, 0)]",Human,"('X', (0, 0))",Loss
2023-12-05 21:59:32.910821,X,"[(1, 1), (0, 2), (1, 0), (1, 2)]","[(0, 1), (2, 0), (0, 0)]",Human,"('X', (1, 1))",Win
2023-12-05 22:00:48.866621,,"[(1, 1), (1, 0), (0, 2), (2, 2), (2, 1)]","[(0, 0), (2, 0), (1, 2), (0, 1)]",Human,"('X', (1, 1))",Draw
2023-12-05 22:02:30.015442,O,"[(0, 1), (0, 2), (1, 2), (1, 1)]","[(0, 0), (1, 0), (2, 1), (2, 0)]",Human,"('X', (0, 1))",Loss
2023-12-05 22:03:33.183785,X,"[(0, 1), (2, 0), (1, 1), (1, 2), (0, 2)]","[(1, 0), (2, 2), (2, 1), (0, 0)]",Human,"('X', (0, 1))",Win
2023-12-05 22:04:12.072584,,"[(1, 1), (0, 2), (0, 0), (1, 0), (2, 1)]","[(0, 1), (2, 0), (2, 2), (1, 2)]",Human,"('X', (1, 1))",Draw
2023-12-05 22:04:47.185153,X,"[(1, 1), (0, 2), (2, 2), (1, 2)]","[(0, 1), (0, 0), (2, 1)]",Human,"('X', (1, 1))",Win
2023-12-05 22:05:17.083469,,"[(1, 1), (0, 2), (0, 0), (1, 0), (2, 1)]","[(0, 1), (2, 0), (2, 2), (1, 2)]",Human,"('X', (1, 1))",Draw
2023-12-05 22:05:39.728330,X,"[(1, 1), (0, 2), (2, 2), (0, 0)]","[(0, 1), (2, 0), (1, 0)]",Human,"('X', (1, 1))",Win
2023-12-05 22:06:08.154817,O,"[(0, 0), (2, 0), (1, 1), (0, 1)]","[(1, 0), (2, 2), (1, 2), (0, 2)]",Human,"('X', (0, 0))",Loss
2023-12-05 22:06:28.207299,X,"[(0, 0), (2, 1), (1, 2), (2, 2), (0, 2)]","[(1, 0), (2, 0), (1, 1), (0, 1)]",Human,"('X', (0, 0))",Win
2023-12-05 22:07:14.849174,,"[(1, 0), (0, 2), (1, 1), (2, 1), (0, 0)]","[(2, 0), (0, 1), (2, 2), (1, 2)]",Human,"('X', (1, 0))",Draw
2023-12-05 22:07:55.098384,,"[(0, 0), (1, 0), (2, 1), (2, 2), (0, 2)]","[(1, 1), (1, 2), (2, 0), (0, 1)]",Human,"('X', (0, 0))",Draw
2023-12-05 22:08:16.302493,X,"[(0, 0), (0, 1), (2, 2), (2, 0), (1, 0)]","[(1, 1), (0, 2), (2, 1), (1, 2)]",Human,"('X', (0, 0))",Win
2023-12-05 22:08:43.154036,O,"[(0, 0), (0, 1), (2, 2)]","[(1, 1), (0, 2), (2, 0)]",Human,"('X', (0, 0))",Loss
2023-12-05 22:09:03.200089,X,"[(2, 0), (1, 1), (0, 1), (1, 2), (2, 1)]","[(1, 0), (0, 2), (0, 0), (2, 2)]",Human,"('X', (2, 0))",Win
2023-12-05 22:09:30.850755,,"[(0, 0), (1, 2), (2, 0), (0, 1), (2, 2)]","[(1, 1), (2, 1), (0, 2), (1, 0)]",Human,"('X', (0, 0))",Draw
2023-12-05 22:09:45.878814,O,"[(1, 1), (2, 1), (1, 0)]","[(1, 2), (0, 2), (2, 2)]",Human,"('X', (1, 1))",Loss
2023-12-05 22:10:14.986369,X,"[(1, 1), (0, 1), (1, 0), (0, 2), (2, 1)]","[(2, 2), (0, 0), (1, 2), (2, 0)]",Human,"('X', (1, 1))",Win
2023-12-05 22:10:39.927708,O,"[(0, 0), (1, 2), (1, 0)]","[(1, 1), (2, 1), (0, 1)]",Human,"('X', (0, 0))",Loss
2023-12-05 22:11:20.682400,O,"[(0, 0), (1, 0), (0, 1)]","[(1, 1), (2, 0), (0, 2)]",Human,"('X', (0, 0))",Loss
2023-12-05 22:11:41.066074,X,"[(1, 1), (2, 1), (1, 2), (0, 0), (0, 1)]","[(2, 2), (2, 0), (1, 0), (0, 2)]",Human,"('X', (1, 1))",Win
2023-12-05 22:11:51.204031,X,"[(0, 0), (1, 1), (2, 2)]","[(1, 2), (2, 1)]",Human,"('X', (0, 0))",Win
2023-12-05 22:12:10.073136,X,"[(1, 0), (0, 0), (1, 2), (2, 0)]","[(0, 1), (1, 1), (2, 2)]",Human,"('X', (1, 0))",Win
2023-12-05 22:12:33.400158,X,"[(1, 1), (2, 2), (0, 0)]","[(2, 1), (1, 0)]",Human,"('X', (1, 1))",Win
2023-12-05 22:12:47.045701,O,"[(0, 0), (1, 2), (2, 2), (1, 0)]","[(1, 1), (2, 1), (2, 0), (0, 1)]",Human,"('X', (0, 0))",Loss
2023-12-05 22:13:12.386047,O,"[(0, 1), (0, 2), (1, 1), (1, 2)]","[(1, 0), (2, 0), (2, 2), (0, 0)]",Human,"('X', (0, 1))",Loss
2023-12-05 22:13:46.286207,,"[(1, 1), (2, 2), (0, 2), (1, 0), (2, 1)]","[(0, 0), (0, 1), (2, 0), (1, 2)]",Human,"('X', (1, 1))",Draw
2023-12-05 22:14:08.394669,,"[(1, 1), (2, 0), (0, 1), (2, 2), (1, 2)]","[(2, 1), (0, 2), (0, 0), (1, 0)]",Human,"('X', (1, 1))",Draw
2023-12-05 22:14:48.323711,,"[(1, 1), (0, 0), (0, 2), (1, 0), (2, 1)]","[(2, 2), (0, 1), (2, 0), (1, 2)]",Human,"('X', (1, 1))",Draw
2023-12-05 22:15:09.045637,X,"[(1, 1), (1, 2), (1, 0)]","[(0, 0), (2, 1)]",Human,"('X', (1, 1))",Win
2023-12-05 22:15:30.516834,X,"[(1, 1), (2, 2), (0, 1), (2, 1)]","[(1, 2), (0, 0), (0, 2)]",Human,"('X', (1, 1))",Win
2023-12-05 22:15:57.309929,X,"[(2, 2), (2, 1), (1, 2), (0, 1), (2, 0)]","[(1, 1), (0, 0), (0, 2), (1, 0)]",Human,"('X', (2, 2))",Win
2023-12-05 22:16:22.675487,X,"[(1, 2), (1, 1), (0, 0), (2, 0), (0, 2)]","[(2, 1), (0, 1), (2, 2), (1, 0)]",Human,"('X', (1, 2))",Win
2023-12-05 22:16:45.060668,,"[(0, 1), (0, 0), (1, 2), (2, 0), (2, 2)]","[(0, 2), (1, 1), (2, 1), (1, 0)]",Human,"('X', (0, 1))",Draw
2023-12-05 22:17:20.133922,,"[(2, 0), (1, 1), (0, 1), (0, 0), (1, 2)]","[(1, 0), (2, 2), (0, 2), (2, 1)]",Human,"('X', (2, 0))",Draw
2023-12-05 22:18:05.961573,O,"[(1, 0), (2, 1), (0, 0), (0, 1)]","[(1, 1), (1, 2), (2, 2), (0, 2)]",Human,"('X', (1, 0))",Loss
2023-12-05 22:18:26.357481,O,"[(2, 1), (0, 0), (2, 2)]","[(2, 0), (1, 1), (0, 2)]",Human,"('X', (2, 1))",Loss
